simp,simp_cp,trad,trad_cp,relation_type,simp_hits_norm,trad_hits_norm
趋,(U+8D8B),趨,(U+8DA8),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,33,10207
睂,,眉,,,33,23113
参,(U+53C2),參,(U+53C3),,32,99850
𨕖,,選,,,32,16448
䡖,,輕,,,32,70562
袐,,祕,,,31,23169
粜,(U+7C9C),糶,(U+7CF6),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,31,417
秃,(U+79C3),禿,(U+79BF),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,31,1988
画,(U+753B),畫,(U+756B),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,31,31960
刋,,刊,,,31,10332
闗,,關,,,31,61893
丗,,世,,,31,833184
摇,(U+6447),搖,(U+6416),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,30,15103
会,(U+4F1A),會,(U+6703),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,30,237608
児,,兒,,,30,51456
芔,,世,,,30,833184
紒,,結,,,30,215999
丣,,卯,,,30,15043
渇,,渴,,,30,16184
鄹,,聚,,,30,74400
䜿,,豎,,,29,14537
劔,,劍,,,29,17369
濓,,濂,,,29,1185
递,(U+9012),遞,(U+905E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,28,4801
旉,,敷,,,28,21844
斋,(U+658B),齋,(U+9F4B),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,28,35459
𬒳,,被,,,27,85663
剥,(U+5265),剝,(U+525D),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,27,4283
称,,稱,,,27,155398
歳,,歲,,,27,80686
隶,(U+96B6),隸,(U+96B8),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,27,7170
启,(U+542F),啟,(U+555F),,26,27187
够,(U+591F),夠,(U+5920),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,26,3069
籴,(U+7C74),糴,(U+7CF4),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,26,458
𨵁,,閻,,,26,22190
𥦽,,寔,,,26,4442
